App;User Group;1;2;3;4;5;6;7;8
marketing_card;base.group_user;39,5;79;118,5;118,5;118,5;118,5;118,5;118,5
mass_mailing;base.group_user;49;98;147;147;147;147;147;147
mass_mailing_crm;base.group_user;0;0;0;0;0;0;0;0
mass_mailing_crm_sms;base.group_user;0;0;0;0;0;0;0;0
mass_mailing_event;base.group_user;1;2;3;3;3;3;3;3
mass_mailing_event_sms;base.group_user;11;22;33;33;33;33;33;33
mass_mailing_event_track;base.group_user;3;3;3;3;3;3;3;3
mass_mailing_event_track_sms;base.group_user;33;33;33;33;33;33;33;33
mass_mailing_sale;base.group_user;0;0;0;0;0;0;0;0
mass_mailing_sale_sms;base.group_user;0;0;0;0;0;0;0;0
mass_mailing_slides;base.group_user;1;2;3;3;3;3;3;3
mass_mailing_sms;base.group_user;40;80;120;120;120;120;120;120
mass_mailing_themes;base.group_user;13;26;39;39;39;39;39;39
membership;base.group_user;3;3;3;3;3;3;3;3
microsoft_account;base.group_user;0;0;0;0;0;0;0;0
microsoft_calendar;base.group_user;222,3;222,3;222,3;222,3;222,3;222,3;222,3;222,3
microsoft_outlook;base.group_user;0;0;0;0;0;0;0;0
mrp;base.group_user;15,8;31,6;47,4;47,4;47,4;47,4;47,4;47,4
mrp_account;base.group_user;9,6;19,2;28,8;28,8;28,8;28,8;28,8;28,8
mrp_landed_costs;base.group_user;0;0;0;0;0;0;0;0
mrp_plm;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
mrp_product_expiry;base.group_user;33;33;33;33;33;33;33;33
mrp_repair;base.group_user;11;22;33;33;33;33;33;33
mrp_subcontracting;base.group_user;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5
mrp_subcontracting_account;base.group_user;33;33;33;33;33;33;33;33
mrp_subcontracting_dropshipping;base.group_user;0;0;0;0;0;0;0;0
mrp_subcontracting_landed_costs;base.group_user;30;30;30;30;30;30;30;30
mrp_subcontracting_purchase;base.group_user;0;0;0;0;0;0;0;0
mrp_subcontracting_repair;base.group_user;33;33;33;33;33;33;33;33
mrp_subonctracting_landed_costs;base.group_user;30;30;30;30;30;30;30;30
mrp_workorder;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
note;base.group_user;0;0;0;0;0;0;0;0
onboarding;base.group_user;0;0;0;0;0;0;0;0
partner_autocomplete;base.group_user;0,3;0,6;0,9;1,2;1,5;1,8;2,1;2,4
payment;base.group_user;1,89;3,78;5,67;7,56;9,45;11,34;13,23;15,12
payment_adyen;base.group_user;78;78;78;78;78;78;78;78
payment_alipay;base.group_user;48;48;48;48;48;48;48;48
payment_aps;base.group_user;0;0;0;0;0;0;0;0
payment_asiapay;base.group_user;60;60;60;60;60;60;60;60
payment_authorize;base.group_user;75;75;75;75;75;75;75;75
